"Type","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","response to interferon-alpha(BP)","1/7","20/18986",0.05,135.614285714286,11.5674047929921,0.00735175033212576,0.0416932054210242,0.0206376142121611,"LAMP3",1
"BP","melanosome transport(BP)","1/7","21/18986",0.0476190476190476,129.156462585034,11.2847357299431,0.0077181184512688,0.0416932054210242,0.0206376142121611,"MREG",1
"BP","modulation of process of another organism(BP)","1/7","21/18986",0.0476190476190476,129.156462585034,11.2847357299431,0.0077181184512688,0.0416932054210242,0.0206376142121611,"PRF1",1
"BP","stress response to metal ion(BP)","1/7","21/18986",0.0476190476190476,129.156462585034,11.2847357299431,0.0077181184512688,0.0416932054210242,0.0206376142121611,"SLC39A8",1
"BP","establishment of melanosome localization(BP)","1/7","22/18986",0.0454545454545455,123.285714285714,11.0214757541867,0.00808437066170065,0.0416932054210242,0.0206376142121611,"MREG",1
"BP","pigment granule transport(BP)","1/7","22/18986",0.0454545454545455,123.285714285714,11.0214757541867,0.00808437066170065,0.0416932054210242,0.0206376142121611,"MREG",1
"BP","detoxification of inorganic compound(BP)","1/7","23/18986",0.0434782608695652,117.925465838509,10.7754933239835,0.00845050699398109,0.0416932054210242,0.0206376142121611,"SLC39A8",1
"BP","establishment of pigment granule localization(BP)","1/7","23/18986",0.0434782608695652,117.925465838509,10.7754933239835,0.00845050699398109,0.0416932054210242,0.0206376142121611,"MREG",1
"BP","iron ion transmembrane transport(BP)","1/7","23/18986",0.0434782608695652,117.925465838509,10.7754933239835,0.00845050699398109,0.0416932054210242,0.0206376142121611,"SLC39A8",1
"BP","melanosome localization(BP)","1/7","24/18986",0.0416666666666667,113.011904761905,10.5449710082483,0.00881652747866402,0.0416932054210242,0.0206376142121611,"MREG",1
"BP","melanocyte differentiation(BP)","1/7","25/18986",0.04,108.491428571429,10.3283483645054,0.00918243214629699,0.0416932054210242,0.0206376142121611,"MREG",1
"BP","pigment granule localization(BP)","1/7","25/18986",0.04,108.491428571429,10.3283483645054,0.00918243214629699,0.0416932054210242,0.0206376142121611,"MREG",1
"BP","response to tumor cell(BP)","2/7","50/18986",0.04,108.491428571429,14.6161291651314,0.000141539993922003,0.00297233987236206,0.0014712709894524,"NKG7/PRF1",2
"BP","cellular response to cadmium ion(BP)","1/7","27/18986",0.037037037037037,100.455026455026,9.93158500009341,0.00991389415256816,0.0436180991995976,0.021590412511079,"SLC39A8",1
"BP","defense response to protozoan(BP)","1/7","29/18986",0.0344827586206897,93.5270935960591,9.57636680019708,0.0106448932570447,0.0436180991995976,0.021590412511079,"NKG7",1
"BP","zinc ion transmembrane transport(BP)","1/7","29/18986",0.0344827586206897,93.5270935960591,9.57636680019708,0.0106448932570447,0.0436180991995976,0.021590412511079,"SLC39A8",1
"BP","phagosome maturation(BP)","1/7","31/18986",0.032258064516129,87.4930875576037,9.25588629521756,0.0113754297038732,0.0436872283379592,0.0216246305682881,"MREG",1
"BP","zinc ion transport(BP)","1/7","31/18986",0.032258064516129,87.4930875576037,9.25588629521756,0.0113754297038732,0.0436872283379592,0.0216246305682881,"SLC39A8",1
"BP","response to protozoan(BP)","1/7","32/18986",0.03125,84.7589285714286,9.10695775839058,0.0117405245069369,0.0438312914925643,0.0216959400245149,"NKG7",1
"BP","natural killer cell activation involved in immune response(BP)","1/7","35/18986",0.0285714285714286,77.4938775510204,8.69885898204546,0.0128351156006561,0.0455759322089869,0.0225595153164785,"NKG7",1
"BP","pigment cell differentiation(BP)","1/7","36/18986",0.0277777777777778,75.3412698412698,8.57421316126482,0.013199748295015,0.0455759322089869,0.0225595153164785,"MREG",1
"BP","bicarbonate transport(BP)","1/7","37/18986",0.027027027027027,73.3050193050193,8.45461466107917,0.013564265538389,0.0455759322089869,0.0225595153164785,"SLC39A8",1
"BP","intracellular zinc ion homeostasis(BP)","1/7","37/18986",0.027027027027027,73.3050193050193,8.45461466107917,0.013564265538389,0.0455759322089869,0.0225595153164785,"SLC39A8",1
"BP","positive regulation of establishment of protein localization to mitochondrion(BP)","1/7","37/18986",0.027027027027027,73.3050193050193,8.45461466107917,0.013564265538389,0.0455759322089869,0.0225595153164785,"GZMB",1
