GeneID,Symbol,Entry,Entry Name,Gene Names
1992,SERPINB1,P30740,ILEU_HUMAN,SERPINB1 ELANH2 MNEI PI2
207,AKT1,P31749,AKT1_HUMAN,AKT1 PKB RAC
3799,KIF5B,P33176,KINH_HUMAN,KIF5B KNS KNS1
4363,ABCC1,P33527,MRP1_HUMAN,ABCC1 MRP MRP1
215,ABCD1,P33897,ABCD1_HUMAN,ABCD1 ALD
2588,GALNS,P34059,GALNS_HUMAN,GALNS
968,CD68,P34810,CD68_HUMAN,CD68
9098,USP6,P35125,UBP6_HUMAN,USP6 HRP1 TRE2
6441,SFTPD,P35247,SFTPD_HUMAN,SFTPD COLEC7 PSPD SFTP4
3425,IDUA,P35475,IDUA_HUMAN,IDUA
4627,MYH9,P35579,MYH9_HUMAN,MYH9
373,TRIM23,P36406,TRI23_HUMAN,TRIM23 ARD1 ARFD1 RNF46
529,ATP6V1E1,P36543,VATE1_HUMAN,ATP6V1E1 ATP6E ATP6E2
6622,SNCA,P37840,SYUA_HUMAN,SNCA NACP PARK1
3988,LIPA,P38571,LICH_HUMAN,LIPA
523,ATP6V1A,P38606,VATA_HUMAN,ATP6V1A ATP6A1 ATP6V1A1 VPP2
5322,PLA2G5,P39877,PA2G5_HUMAN,PLA2G5
899,CCNF,P41002,CCNF_HUMAN,CCNF FBX1 FBXO1
5584,PRKCI,P41743,KPCI_HUMAN,PRKCI DXS1179E
2475,MTOR,P42345,MTOR_HUMAN,MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1
5547,PRCP,P42785,PCP_HUMAN,PRCP PCP
27065,NSG1,P42857,NSG1_HUMAN,NSG1 D4S234 NEEP21
1519,CTSO,P43234,CATO_HUMAN,CTSO CTSO1
1513,CTSK,P43235,CATK_HUMAN,CTSK CTSO CTSO2
6850,SYK,P43405,KSYK_HUMAN,SYK
8078,USP5,P45974,UBP5_HUMAN,USP5 ISOT
1027,CDKN1B,P46527,CDN1B_HUMAN,CDKN1B KIP1 p27
4734,NEDD4,P46934,NEDD4_HUMAN,NEDD4 KIAA0093 NEDD4-1 RPF1 PIG53
356,FASLG,P48023,TNFL6_HUMAN,FASLG APT1LG1 CD95L FASL TNFSF6
5305,PIP4K2A,P48426,PI42A_HUMAN,PIP4K2A PI5P4KA PIP5K2 PIP5K2A
6556,SLC11A1,P49279,NRAM1_HUMAN,SLC11A1 LSH NRAMP NRAMP1
4891,SLC11A2,P49281,NRAM2_HUMAN,SLC11A2 DCT1 DMT1 NRAMP2 OK/SW-cl.20
408,ARRB1,P49407,ARRB1_HUMAN,ARRB1 ARR1
7319,UBE2A,P49459,UBE2A_HUMAN,UBE2A RAD6A
27072,VPS41,P49754,VPS41_HUMAN,VPS41
7249,TSC2,P49815,TSC2_HUMAN,TSC2 TSC4
1785,DNM2,P50570,DYN2_HUMAN,DNM2 DYN2
987,LRBA,P50851,LRBA_HUMAN,LRBA BGL CDC4L LBA
5538,PPT1,P50897,PPT1_HUMAN,PPT1 CLN1 PPT
7879,RAB7A,P51149,RAB7A_HUMAN,RAB7A RAB7
9367,RAB9A,P51151,RAB9A_HUMAN,RAB9A RAB9
5873,RAB27A,P51159,RB27A_HUMAN,RAB27A RAB27
6448,SGSH,P51688,SPHM_HUMAN,SGSH HSS
3784,KCNQ1,P51787,KCNQ1_HUMAN,KCNQ1 KCNA8 KCNA9 KVLQT1
1182,CLCN3,P51790,CLCN3_HUMAN,CLCN3
1183,CLCN4,P51793,CLCN4_HUMAN,CLCN4
1186,CLCN7,P51798,CLCN7_HUMAN,CLCN7
6845,VAMP7,P51809,VAMP7_HUMAN,VAMP7 SYBL1
4935,GPR143,P51810,GP143_HUMAN,GPR143 OA1
1075,CTSC,P53634,CATC_HUMAN,CTSC CPPI
11145,PLAAT3,P53816,PLAT3_HUMAN,PLAAT3 HRASLS3 HREV107 PLA2G16
4287,ATXN3,P54252,ATX3_HUMAN,ATXN3 ATX3 MJD MJD1 SCA3
9001,HAP1,P54257,HAP1_HUMAN,HAP1 HAP2 HLP1
4669,NAGLU,P54802,ANAG_HUMAN,NAGLU UFHSD1
2581,GALC,P54803,GALC_HUMAN,GALC
7415,VCP,P55072,TERA_HUMAN,VCP HEL-220 HEL-S-70
6396,SEC13,P55735,SEC13_HUMAN,SEC13 D3S1231E SEC13A SEC13L1 SEC13R
1521,CTSW,P56202,CATW_HUMAN,CTSW
8905,AP1S2,P56377,AP1S2_HUMAN,AP1S2 DC22
23621,BACE1,P56817,BACE1_HUMAN,BACE1 BACE KIAA1149
55014,STX17,P56962,STX17_HUMAN,STX17
23682,RAB38,P57729,RAB38_HUMAN,RAB38
64089,SNX16,P57768,SNX16_HUMAN,SNX16
100127206,MINAR2,P59773,MNARL_HUMAN,MINAR2 KIAA1024L
975,CD81,P60033,CD81_HUMAN,CD81 TAPA1 TSPAN28
4218,RAB8A,P61006,RAB8A_HUMAN,RAB8A MEL RAB8
10890,RAB10,P61026,RAB10_HUMAN,RAB10
7852,CXCR4,P61073,CXCR4_HUMAN,CXCR4
51552,RAB14,P61106,RAB14_HUMAN,RAB14
9114,ATP6V0D1,P61421,VA0D1_HUMAN,ATP6V0D1 ATP6D VPATPD
10577,NPC2,P61916,NPC2_HUMAN,NPC2 HE1
1174,AP1S1,P61966,AP1S1_HUMAN,AP1S1 AP19 CLAPS1
388,RHOB,P62745,RHOB_HUMAN,RHOB ARH6 ARHB
6844,VAMP2,P63027,VAMP2_HUMAN,VAMP2 SYB2
5515,PPP2CA,P67775,PP2AA_HUMAN,PPP2CA
8396,PIP4K2B,P78356,PI42B_HUMAN,PIP4K2B PIP5K2B
2647,BLOC1S1,P78537,BL1S1_HUMAN,BLOC1S1 BLOS1 GCN5L1 RT14
3125,HLA-DRB3,P79483,DRB3_HUMAN,HLA-DRB3
375,ARF1,P84077,ARF1_HUMAN,ARF1
4036,LRP2,P98164,LRP2_HUMAN,LRP2
4693,NDP,Q00604,NDP_HUMAN,NDP EVR2
1213,CLTC,Q00610,CLH1_HUMAN,CLTC CLH17 CLTCL2 KIAA0034
7073,TIAL1,Q01085,TIAR_HUMAN,TIAL1
287,ANK2,Q01484,ANK2_HUMAN,ANK2 ANKB
10410,IFITM3,Q01628,IFM3_HUMAN,IFITM3
10581,IFITM2,Q01629,IFM2_HUMAN,IFITM2
8140,SLC7A5,Q01650,LAT1_HUMAN,SLC7A5 CD98LC LAT1 MPE16
