GeneID,Symbol,Entry,Entry Name,Gene Name
10462,CLEC10A,Q8IUN9,CLC10_HUMAN,CLECSF14
10462,CLEC10A,Q8IUN9,CLC10_HUMAN,HML
157807,CLVS1,Q8IUQ0,CLVS1_HUMAN,CLVS1
157807,CLVS1,Q8IUQ0,CLVS1_HUMAN,CRALBPL
157807,CLVS1,Q8IUQ0,CLVS1_HUMAN,RLBP1L1
23646,PLD3,Q8IV08,PLD3_HUMAN,PLD3
23207,PLEKHM2,Q8IWE5,PKHM2_HUMAN,PLEKHM2
23207,PLEKHM2,Q8IWE5,PKHM2_HUMAN,KIAA0842
23207,PLEKHM2,Q8IWE5,PKHM2_HUMAN,SKIP
9648,GCC2,Q8IWJ2,GCC2_HUMAN,GCC2
9648,GCC2,Q8IWJ2,GCC2_HUMAN,KIAA0336
9648,GCC2,Q8IWJ2,GCC2_HUMAN,RANBP2L4
56262,LRRC8A,Q8IWT6,LRC8A_HUMAN,LRRC8A
56262,LRRC8A,Q8IWT6,LRC8A_HUMAN,KIAA1437
56262,LRRC8A,Q8IWT6,LRC8A_HUMAN,LRRC8
56262,LRRC8A,Q8IWT6,LRC8A_HUMAN,SWELL1
56262,LRRC8A,Q8IWT6,LRC8A_HUMAN,UNQ221/PRO247
55293,UEVLD,Q8IX04,UEVLD_HUMAN,UEVLD
55293,UEVLD,Q8IX04,UEVLD_HUMAN,UEV3
22933,SIRT2,Q8IXJ6,SIR2_HUMAN,SIRT2
22933,SIRT2,Q8IXJ6,SIR2_HUMAN,SIR2L
22933,SIRT2,Q8IXJ6,SIR2_HUMAN,SIR2L2
51296,SLC15A3,Q8IY34,S15A3_HUMAN,SLC15A3
51296,SLC15A3,Q8IY34,S15A3_HUMAN,OCTP
51296,SLC15A3,Q8IY34,S15A3_HUMAN,PHT2
51296,SLC15A3,Q8IY34,S15A3_HUMAN,PTR3
201931,TMEM192,Q8IY95,TM192_HUMAN,TMEM192
8477,GPR65,Q8IYL9,PSYR_HUMAN,GPR65
8477,GPR65,Q8IYL9,PSYR_HUMAN,TDAG8
255231,MCOLN2,Q8IZK6,MCLN2_HUMAN,MCOLN2
84951,TNS4,Q8IZW8,TENS4_HUMAN,TNS4
84951,TNS4,Q8IZW8,TENS4_HUMAN,CTEN
84951,TNS4,Q8IZW8,TENS4_HUMAN,PP14434
57521,RPTOR,Q8N122,RPTOR_HUMAN,RPTOR
57521,RPTOR,Q8N122,RPTOR_HUMAN,KIAA1303
57521,RPTOR,Q8N122,RPTOR_HUMAN,RAPTOR
54978,SLC35F6,Q8N357,S35F6_HUMAN,SLC35F6
54978,SLC35F6,Q8N357,S35F6_HUMAN,C2orf18
54978,SLC35F6,Q8N357,S35F6_HUMAN,UNQ3047/PRO9863
55529,PIP4P2,Q8N4L2,PP4P2_HUMAN,PIP4P2
55529,PIP4P2,Q8N4L2,PP4P2_HUMAN,TMEM55A
147007,TMEM199,Q8N511,TM199_HUMAN,TMEM199
147007,TMEM199,Q8N511,TM199_HUMAN,C17orf32
55686,MREG,Q8N565,MREG_HUMAN,MREG
55686,MREG,Q8N565,MREG_HUMAN,DSU
55686,MREG,Q8N565,MREG_HUMAN,HDCGA21P
257397,TAB3,Q8N5C8,TAB3_HUMAN,TAB3
257397,TAB3,Q8N5C8,TAB3_HUMAN,MAP3K7IP3
84067,FHIP1B,Q8N612,FHI1B_HUMAN,FHIP1B
84067,FHIP1B,Q8N612,FHI1B_HUMAN,C11orf56
84067,FHIP1B,Q8N612,FHI1B_HUMAN,FAM160A2
